,trial,N,cm_count,rounds_played,adoption_established ,adoption_alternative,adoption_other
0,1,20,4,0,88.89%,0.00%,11.11%
1,1,20,4,1,93.75%,0.00%,6.25%
2,1,20,4,2,93.75%,0.00%,6.25%
3,1,20,4,3,100.00%,0.00%,0.00%
4,1,20,4,4,93.33%,0.00%,6.67%
5,1,20,4,5,100.00%,0.00%,0.00%
6,1,20,4,6,93.75%,0.00%,6.25%
7,1,20,4,7,100.00%,0.00%,0.00%
8,1,20,4,8,93.33%,6.67%,0.00%
9,1,20,4,9,87.50%,12.50%,0.00%
10,1,20,4,10,81.25%,18.75%,0.00%
11,1,20,4,11,92.86%,7.14%,0.00%
12,1,20,4,12,100.00%,0.00%,0.00%
13,1,20,4,13,81.25%,18.75%,0.00%
14,1,20,4,14,93.33%,6.67%,0.00%
15,1,20,4,15,100.00%,0.00%,0.00%
16,1,20,4,16,92.86%,7.14%,0.00%
17,1,20,4,17,85.71%,7.14%,7.14%
18,1,20,4,18,100.00%,0.00%,0.00%
19,1,20,4,19,92.86%,7.14%,0.00%
20,1,20,4,20,87.50%,12.50%,0.00%
21,1,20,4,21,93.75%,6.25%,0.00%
22,1,20,4,22,93.33%,6.67%,0.00%
23,1,20,4,23,87.50%,12.50%,0.00%
24,1,20,4,24,100.00%,0.00%,0.00%
25,1,20,4,25,92.86%,7.14%,0.00%
26,1,20,4,26,86.67%,13.33%,0.00%
27,1,20,4,27,93.75%,6.25%,0.00%
28,1,20,4,28,93.33%,6.67%,0.00%
29,1,20,4,29,86.67%,6.67%,6.67%
30,1,20,4,30,93.33%,6.67%,0.00%
31,1,20,4,31,93.75%,6.25%,0.00%
32,1,20,4,32,100.00%,0.00%,0.00%
33,1,20,4,33,86.67%,6.67%,6.67%
34,1,20,4,34,100.00%,0.00%,0.00%
35,1,20,4,35,100.00%,0.00%,0.00%
36,1,20,4,36,100.00%,0.00%,0.00%
37,1,20,4,37,92.31%,0.00%,7.69%
38,1,20,4,38,100.00%,0.00%,0.00%
39,1,20,4,39,92.31%,7.69%,0.00%
40,1,20,4,40,83.33%,8.33%,8.33%
41,1,20,4,41,100.00%,0.00%,0.00%
42,3,21,4,0,76.47%,5.88%,17.65%
43,3,21,4,1,94.12%,0.00%,5.88%
44,3,21,4,2,89.47%,5.26%,5.26%
45,3,21,4,3,94.12%,5.88%,0.00%
46,3,21,4,4,88.89%,11.11%,0.00%
47,3,21,4,5,77.78%,16.67%,5.56%
48,3,21,4,6,75.00%,18.75%,6.25%
49,3,21,4,7,88.89%,11.11%,0.00%
50,3,21,4,8,76.47%,17.65%,5.88%
51,3,21,4,9,89.47%,5.26%,5.26%
52,3,21,4,10,88.24%,5.88%,5.88%
53,3,21,4,11,93.75%,0.00%,6.25%
54,3,21,4,12,94.74%,5.26%,0.00%
55,3,21,4,13,94.44%,0.00%,5.56%
56,3,21,4,14,75.00%,12.50%,12.50%
57,3,21,4,15,100.00%,0.00%,0.00%
58,3,21,4,16,88.89%,5.56%,5.56%
59,3,21,4,17,94.12%,5.88%,0.00%
60,3,21,4,18,94.12%,5.88%,0.00%
61,3,21,4,19,88.24%,5.88%,5.88%
62,3,21,4,20,100.00%,0.00%,0.00%
63,3,21,4,21,88.24%,11.76%,0.00%
64,3,21,4,22,94.12%,5.88%,0.00%
65,3,21,4,23,94.12%,5.88%,0.00%
66,3,21,4,24,88.89%,11.11%,0.00%
67,3,21,4,25,93.75%,0.00%,6.25%
68,3,21,4,26,93.33%,6.67%,0.00%
69,3,21,4,27,78.57%,21.43%,0.00%
70,3,21,4,28,75.00%,18.75%,6.25%
71,3,21,4,29,100.00%,0.00%,0.00%
72,3,21,4,30,86.67%,6.67%,6.67%
73,5,29,6,0,85.19%,0.00%,14.81%
74,5,29,6,1,95.45%,0.00%,4.55%
75,5,29,6,2,95.00%,0.00%,5.00%
76,5,29,6,3,95.45%,0.00%,4.55%
77,5,29,6,4,85.71%,4.76%,9.52%
